title,datetime,link
An 11.1% CAGR for CAE Market Expected Between 2016 and 2021,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmVuZ2luZWVyaW5nLmNvbS9zdG9yeS9hbi0xMTEtY2Fnci1mb3ItY2FlLW1hcmtldC1leHBlY3RlZC1iZXR3ZWVuLTIwMTYtYW5kLTIwMjHSAS1odHRwczovL21vYmlsZS5lbmdpbmVlcmluZy5jb20vYW1wLzE0MTcxLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
People to Watch 2019,2019-02-22 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LmhwY3dpcmUuY29tL3Blb3BsZS10by13YXRjaC0yMDE5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
People to Watch 2018,2018-03-08 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LmhwY3dpcmUuY29tL3Blb3BsZS10by13YXRjaC0yMDE4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
People to Watch 2017,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LmhwY3dpcmUuY29tL3Blb3BsZS10by13YXRjaC0yMDE3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Texas A&M Ocean Engineering Students Enter Team To Compete In ...,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LnByd2ViLmNvbS9yZWxlYXNlcy8yMDE3LzAxL3Byd2ViMTM5NTg3NzAuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
France's CEA and Japan's RIKEN to Partner on ARM and Exascale,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiQmh0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDEvMTkvY2VhLXJpa2VuLXBhcnRuZXItYXJtLWV4YXNjYWxlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Answered Prayers for High Frequency Traders? Latency Cut to 20 ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDEvMjMvYW5zd2VyZWQtcHJheWVycy1oaWdoLWZyZXF1ZW5jeS10cmFkZXJzLWxhdGVuY3ktY3V0LTIwLW5hbm9zZWNvbmRzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
China Unveils Memory Plans,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vc2VtaWVuZ2luZWVyaW5nLmNvbS9jaGluYS11bnZlaWxzLW1lbW9yeS1wbGFucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
The Multiplier And The Singularity,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vc2VtaWVuZ2luZWVyaW5nLmNvbS90aGUtbXVsdGlwbGllci1hbmQtdGhlLXNpbmd1bGFyaXR5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
New Embedded Memories Ahead,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vc2VtaWVuZ2luZWVyaW5nLmNvbS9uZXctZW1iZWRkZWQtbWVtb3JpZXMtYWhlYWQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Datakit Unveils IFC Format Reader for BIM,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LnRlbmxpbmtzLmNvbS9uZXdzL2RhdGFraXQtdW52ZWlscy1pZmMtZm9ybWF0LXJlYWRlci1mb3ItYmltL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Ansysco Anand enters OE market, eyes coolant and brake fluids supplies to Maruti Suzuki",2017-01-18 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmF1dG9jYXJwcm8uaW4vbmV3cy1uYXRpb25hbC9hbnN5c2NvLWFuYW5kLXRhcmdldHMtbWFydXRpLXN1enVraS1jb29sYW50LWJyYWtlLWZsdWlkcy1idXNpbmVzcy0yMzMyNtIBdWh0dHBzOi8vd3d3LmF1dG9jYXJwcm8uaW4vbmV3cy1uYXRpb25hbC9hbnN5c2NvLWFuYW5kLXRhcmdldHMtbWFydXRpLXN1enVraS1jb29sYW50LWJyYWtlLWZsdWlkcy1idXNpbmVzcy0yMzMyNj9hbXA9MQ?hl=en-US&gl=US&ceid=US%3Aen
Iron ore the winner in 2016 stock pick competition,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm1vbmV5d2ViLmNvLnphL25ld3MvY29tcGFuaWVzLWFuZC1kZWFscy9pcm9uLW9yZS10aGUtd2lubmVyLWluLTIwMTYtc3RvY2stcGljay1jb21wZXRpdGlvbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Fractilia: Pattern Roughness Metrology,2017-02-21 00:00:00,https://news.google.com/./articles/CBMiQmh0dHBzOi8vc2VtaWVuZ2luZWVyaW5nLmNvbS9mcmFjdGlsaWEtcGF0dGVybi1yb3VnaG5lc3MtbWV0cm9sb2d5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Alexander Named Dep. Dir. of Brookhaven Computational Initiative,2017-02-15 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDIvMTUvYWxleGFuZGVyLW5hbWVkLWRlcC1kaXItYnJvb2toYXZlbi1jb21wdXRhdGlvbmFsLWluaXRpYXRpdmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Here's What a Neural Net Looks Like On the Inside,2017-02-15 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDIvMTUvaGVyZXMtbmV1cmFsLW5ldC1sb29rcy1saWtlLWluc2lkZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
UMass Rolls Out New GPU Cluster for Deep Learning,2017-02-08 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDIvMDgvdW1hc3MtZ3B1LWNsdXN0ZXItZGVlcC1sZWFybmluZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
OSAT Biz: Growth And Challenges,2017-02-08 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vc2VtaWVuZ2luZWVyaW5nLmNvbS9vc2F0LWJpei1ncm93dGgtYW5kLWNoYWxsZW5nZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Time to engineer fusion energy,2017-02-02 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmV1cmVrYW1hZ2F6aW5lLmNvLnVrL2NvbnRlbnQvdGVjaG5vbG9neS90aW1lLXRvLWVuZ2luZWVyLWZ1c2lvbi1lbmVyZ3kv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Ontario's Centennial College Transforms Students into Skilled Workers,2017-02-15 00:00:00,https://news.google.com/./articles/CBMikwFodHRwczovL3d3dy5jYW5hZGlhbm1ldGFsd29ya2luZy5jb20vY2FuYWRpYW5tZXRhbHdvcmtpbmcvYXJ0aWNsZS9tZWFzdXJlbWVudC9vbnRhcmlvLXMtY2VudGVubmlhbC1jb2xsZWdlLXRyYW5zZm9ybXMtc3R1ZGVudHMtaW50by1za2lsbGVkLXdvcmtlcnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Is Liquid Cooling Ready to Go Mainstream?,2017-02-13 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDIvMTMvbGlxdWlkLWNvb2xpbmctcmVhZHktZ28tbWFpbnN0cmVhbS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Rajasthan 2nd largest crude oil producer in country: Governor,2017-02-23 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL2F1dG8uZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9uZXdzL29pbC1hbmQtbHViZXMvcmFqYXN0aGFuLTJuZC1sYXJnZXN0LWNydWRlLW9pbC1wcm9kdWNlci1pbi1jb3VudHJ5LWdvdmVybm9yLzU3MzE0NTM20gGGAWh0dHBzOi8vYXV0by5lY29ub21pY3RpbWVzLmluZGlhdGltZXMuY29tL2FtcC9uZXdzL29pbC1hbmQtbHViZXMvcmFqYXN0aGFuLTJuZC1sYXJnZXN0LWNydWRlLW9pbC1wcm9kdWNlci1pbi1jb3VudHJ5LWdvdmVybm9yLzU3MzE0NTM2?hl=en-US&gl=US&ceid=US%3Aen
Grundfos and ANSYS develop digital twin partnership,2017-03-02 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LndvcmxkcHVtcHMuY29tL2NvbnRlbnQvbmV3cy9ncnVuZGZvcy1hbmQtYW5zeXMtZGV2ZWxvcC1kaWdpdGFsLXR3aW4tcGFydG5lcnNoaXDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Software Engineering Market is estimated to reach at USD 50 ...,2017-03-06 00:00:00,https://news.google.com/./articles/CBMimAFodHRwczovL21lbmFmbi5jb20vMTA5NTI5MjYwMS9Tb2Z0d2FyZS1FbmdpbmVlcmluZy1NYXJrZXQtaXMtZXN0aW1hdGVkLXRvLXJlYWNoLWF0LVVTRC01MC1iaWxsaW9uLWFuZC1leHBlY3RlZC10by1ncm93LWF0LTE1LUNvbXBvdW5kLUFubnVhbC1Hcm93dGgtUmF0ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Big Adaptation in Meshing Technology From Spatial Corp,2017-03-29 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmVuZ2luZWVyaW5nLmNvbS9zdG9yeS9iaWctYWRhcHRhdGlvbi1pbi1tZXNoaW5nLXRlY2hub2xvZ3ktZnJvbS1zcGF0aWFsLWNvcnDSAS1odHRwczovL21vYmlsZS5lbmdpbmVlcmluZy5jb20vYW1wLzE0NjQwLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
SDSC's Flash 'Gordon' Too Fast for Retirement,2017-03-15 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDMvMTUvc2RzY3MtZmxhc2gtZ29yZG9uLWZhc3QtcmV0aXJlbWVudC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Idaho National Laboratory Set for $90M Cybersec/HPC Expansion,2017-03-30 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDMvMzAvaWRhaG8tbmF0aW9uYWwtbGFib3JhdG9yeS1zZXQtOTBtLWN5YmVyc2VjaHBjLWV4cGFuc2lvbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Data-Hungry Algorithms and the Thirst for AI,2017-03-29 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDMvMjkvZGF0YS1odW5ncnktYWxnb3JpdGhtcy10aGlyc3QtYWkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Swiss Researchers Peer Inside Chips with Improved X-Ray Imaging,2017-03-22 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDMvMjIvc3dpc3MtcmVzZWFyY2hlcnMtcGVlci1pbnNpZGUtY2hpcHMtaW1wcm92ZWQteC1yYXktaW1hZ2luZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Nvidia Debuts HGX-1 for Cloud; Announces Fujitsu AI Deal,2017-03-09 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LmhwY3dpcmUuY29tLzIwMTcvMDMvMDkvbnZpZGlhLWRlYnV0cy1oZ3gtMS1jbG91ZC1hbm5vdW5jZXMtZnVqaXRzdS1haS1kZWFsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
China: Fab Boom or Bust?,2017-03-16 00:00:00,https://news.google.com/./articles/CBMiM2h0dHBzOi8vc2VtaWVuZ2luZWVyaW5nLmNvbS9jaGluYS1mYWItYm9vbS1vci1idXN0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Patterning Problems Pile Up,2017-03-20 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vc2VtaWVuZ2luZWVyaW5nLmNvbS9wYXR0ZXJuaW5nLXByb2JsZW1zLXBpbGUtdXAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
