title,datetime,link
New York trains roll on new subway line envisioned in 1920s,2017-01-01 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmRlbnZlcnBvc3QuY29tLzIwMTcvMDEvMDEvbmV3LXN1YndheS1saW5lLWF3YWl0ZWQtc2luY2UtdGhlLTE5MjBzLWlzLXNldC10by1yb2xsL9IBYWh0dHBzOi8vd3d3LmRlbnZlcnBvc3QuY29tLzIwMTcvMDEvMDEvbmV3LXN1YndheS1saW5lLWF3YWl0ZWQtc2luY2UtdGhlLTE5MjBzLWlzLXNldC10by1yb2xsL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
The Hadid sisters rock Aspen in style over family getaway,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmFsYmF3YWJhLmNvbS9lbnRlcnRhaW5tZW50L2hhZGlkLXNpc3RlcnMtcm9jay1hc3Blbi1zdHlsZS1vdmVyLWZhbWlseS1nZXRhd2F5LTkyMDk0NNIBZGh0dHBzOi8vd3d3LmFsYmF3YWJhLmNvbS9hbXAvZW50ZXJ0YWlubWVudC9oYWRpZC1zaXN0ZXJzLXJvY2stYXNwZW4tc3R5bGUtb3Zlci1mYW1pbHktZ2V0YXdheS05MjA5NDQ?hl=en-US&gl=US&ceid=US%3Aen
Proterra Nabs $140 Million as Electric Bus Maker Targets 2017 IPO,2017-01-03 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTAzL3Byb3RlcnJhLW5hYnMtMTQwLW1pbGxpb24tYXMtZWxlY3RyaWMtYnVzLW1ha2VyLXNlZXMtMjAxNy1pcG_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Garmin launches new generation of G1000 cockpit,2017-01-03 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmFvcGEub3JnL25ld3MtYW5kLW1lZGlhL2FsbC1uZXdzLzIwMTcvamFudWFyeS8wMy9nYXJtaW4tbGF1bmNoZXMtbmV3LWdlbmVyYXRpb24tb2YtZzEwMDAtY29ja3BpdNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Congress Must Re-Set Department of Homeland Security Priorities ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3Lmhlcml0YWdlLm9yZy9ob21lbGFuZC1zZWN1cml0eS9yZXBvcnQvY29uZ3Jlc3MtbXVzdC1yZS1zZXQtZGVwYXJ0bWVudC1ob21lbGFuZC1zZWN1cml0eS1wcmlvcml0aWVzLWFtZXJpY2Fu0gEA?hl=en-US&gl=US&ceid=US%3Aen
Longtime downtown Denver restaurant McCormick's has closed; to ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9kZW52ZXIvbmV3cy8yMDE3LzAxLzAzL2xvbmd0aW1lLWRvd250b3duLWRlbnZlci1tY2Nvcm1pY2tzLWNsb3NpbmctYmVpbmcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"One Winner, One Loser in Brothers' Lottery Worth Billions",2017-01-04 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTA0L29uZS13aW5uZXItb25lLWxvc2VyLWluLWJyb3RoZXJzLWxvdHRlcnktd29ydGgtYmlsbGlvbnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
L.A. station switches to 'very own' slogan,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3Lm5ld3NjYXN0c3R1ZGlvLmNvbS8yMDE3LzAxLzA0L2t0bGEtc2xvZ2FuL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Four Aspen Dental Practices Slated To Open In Mississippi In 2017 ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMirAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2ZvdXItYXNwZW4tZGVudGFsLXByYWN0aWNlcy1zbGF0ZWQtdG8tb3Blbi1pbi1taXNzaXNzaXBwaS1pbi0yMDE3LW1ha2luZy1hY2Nlc3MtdG8tY2FyZS1lYXNpZXItaW4tdGhlLW1hZ25vbGlhLXN0YXRlLTMwMDM4NDY3Mi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Bluefin Tuna Goes for $632000 in First Tsukiji Auction of 2017,2017-01-04 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTA1L2JsdWVmaW4tdHVuYS1nb2VzLWZvci02MzItMDAwLWluLTFzdC10c3VraWppLWF1Y3Rpb24tb2YtMTfSAQA?hl=en-US&gl=US&ceid=US%3Aen
College Football's Top Teams Are Built on Crippling Debt,2017-01-04 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9mZWF0dXJlcy8yMDE3LTAxLTA0L2NvbGxlZ2UtZm9vdGJhbGwtcy10b3AtdGVhbXMtYXJlLWJ1aWx0LW9uLWNyaXBwbGluZy1kZWJ00gEA?hl=en-US&gl=US&ceid=US%3Aen
China's Rural Poor Bear the Brunt of the Nation's Aging Crisis,2017-01-04 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTA1L2NoaW5hLXMtcnVyYWwtcG9vci1iZWFyLXRoZS1icnVudC1vZi10aGUtbmF0aW9uLXMtYWdpbmctY3Jpc2lz0gEA?hl=en-US&gl=US&ceid=US%3Aen
CES 2017: The walking cane with its own cellphone plan,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmRlbnZlcnBvc3QuY29tLzIwMTcvMDEvMDUvY2VzLTIwMTctdGhlLXdhbGtpbmctY2FuZS13aXRoLWl0cy1vd24tY2VsbHBob25lLXBsYW4v0gFgaHR0cHM6Ly93d3cuZGVudmVycG9zdC5jb20vMjAxNy8wMS8wNS9jZXMtMjAxNy10aGUtd2Fsa2luZy1jYW5lLXdpdGgtaXRzLW93bi1jZWxscGhvbmUtcGxhbi9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Colorado wildlife officials: Coyotes get aggressive during January-February breeding season,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LmRlbnZlcnBvc3QuY29tLzIwMTcvMDEvMDYvY295b3Rlcy1hZ2dyZXNzaXZlLWJyZWVkaW5nLXNlYXNvbi_SAU1odHRwczovL3d3dy5kZW52ZXJwb3N0LmNvbS8yMDE3LzAxLzA2L2NveW90ZXMtYWdncmVzc2l2ZS1icmVlZGluZy1zZWFzb24vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
