title,datetime,link
"Domino's stock has outperformed Google, Facebook, Apple, and ...",2017-03-22 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vcXouY29tLzkzODYyMC9kb21pbm9zLWRwei1zdG9jay1oYXMtb3V0cGVyZm9ybWVkLWdvb2dsZS1nb29nLWZhY2Vib29rLWZiLWFwcGxlLWFhcGwtYW5kLWFtYXpvbi1hbXpuLXRoaXMtZGVjYWRl0gEA?hl=en-US&gl=US&ceid=US%3Aen
PepsiCo: Better Than Coca-Cola At Everything (Almost) (NASDAQ ...,2017-05-05 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNjk2MjctcGVwc2ljby1iZXR0ZXItY29jYS1jb2xhLWV2ZXJ5dGhpbmctYWxtb3N00gEA?hl=en-US&gl=US&ceid=US%3Aen
"Repligen Corporation and Spectrum, Inc. to Join Forces",2017-06-23 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vd3d3Lmdsb2JlbmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZS8yMDE3LzA2LzIzLzEwMjgzOTcvMC9lbi9SZXBsaWdlbi1Db3Jwb3JhdGlvbi1hbmQtU3BlY3RydW0tSW5jLXRvLUpvaW4tRm9yY2VzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Repligen closes Spectrum acquisition in latest boost for filtration ...,2017-08-04 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmJpb3BoYXJtYS1yZXBvcnRlci5jb20vQXJ0aWNsZS8yMDE3LzA4LzA0L1JlcGxpZ2VuLWNsb3Nlcy1TcGVjdHJ1bS1kZWFsLWluLWxhdGVzdC1ib29zdC1mb3ItZmlsdHJhdGlvbi1iaXrSAQA?hl=en-US&gl=US&ceid=US%3Aen
Repligen adding former Motorola plant in MA to filtration footprint,2018-02-13 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmJpb3BoYXJtYS1yZXBvcnRlci5jb20vQXJ0aWNsZS8yMDE4LzAyLzEzL1JlcGxpZ2VuLWFkZGluZy1mb3JtZXItTW90b3JvbGEtcGxhbnQtaW4tTUEtdG8tZmlsdHJhdGlvbi1mb290cHJpbnTSAQA?hl=en-US&gl=US&ceid=US%3Aen
LakePharma ups biologics offering with Massachusetts site,2018-02-16 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmJpb3BoYXJtYS1yZXBvcnRlci5jb20vQXJ0aWNsZS8yMDE4LzAyLzE2L0xha2VQaGFybWEtdXBzLWJpb2xvZ2ljcy1vZmZlcmluZy13aXRoLU1hc3NhY2h1c2V0dHMtc2l0ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Google Pixel 3 Design, Camera, Other Features: What To Expect",2018-03-25 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LnZhbHVld2Fsay5jb20vMjAxOC8wMy9nb29nbGUtcGl4ZWwtMy1kZXNpZ24tY2FtZXJhLWZlYXR1cmVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Repligen: A Story Of Explosive Growth In A $200 Billion Market ...,2018-07-26 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxOTAzNzEtcmVwbGlnZW4tc3Rvcnktb2YtZXhwbG9zaXZlLWdyb3d0aC1pbi0yMDAtYmlsbGlvbi1tYXJrZXTSAQA?hl=en-US&gl=US&ceid=US%3Aen
Sartorius Stedim Biotech and Repligen Corporation Partner to ...,2018-09-04 00:00:00,https://news.google.com/./articles/CBMivAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAxOC8wOS8wNC8xNTY1MDk4LzAvZW4vU2FydG9yaXVzLVN0ZWRpbS1CaW90ZWNoLWFuZC1SZXBsaWdlbi1Db3Jwb3JhdGlvbi1QYXJ0bmVyLXRvLUludHJvZHVjZS1OZXh0LUdlbmVyYXRpb24tUGVyZnVzaW9uLUVuYWJsZWQtQmlvcmVhY3RvcnMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Sartorius combination tech deal a ‘win-win,’ says Repligen",2018-09-05 00:00:00,https://news.google.com/./articles/CBMihQFodHRwczovL2Jpb3Byb2Nlc3NpbnRsLmNvbS9iaW9wcm9jZXNzLWluc2lkZXIvdXBzdHJlYW0tZG93bnN0cmVhbS1wcm9jZXNzaW5nL3NhcnRvcml1cy1jb21iaW5hdGlvbi10ZWNoLWRlYWwtYS13aW4td2luLXNheXMtcmVwbGlnZW4v0gEA?hl=en-US&gl=US&ceid=US%3Aen
