title,datetime,link
Deloitte Chooses NYC As Blockchain Hub,2017-01-16 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5weW1udHMuY29tL25ld3MvYjJiLXBheW1lbnRzLzIwMTcvZGVsb2l0dGUtYW1lcmljYXMtYmxvY2tjaGFpbi1sYWItZGlzdHJpYnV0ZWQtbGVkZ2VyLWluY3ViYXRvci1ueWMtbmV3LXlvcmstY2l0eS1kaXNydXB0LXVzZS1jYXNlL9IBkwFodHRwczovL3d3dy5weW1udHMuY29tL25ld3MvYjJiLXBheW1lbnRzLzIwMTcvZGVsb2l0dGUtYW1lcmljYXMtYmxvY2tjaGFpbi1sYWItZGlzdHJpYnV0ZWQtbGVkZ2VyLWluY3ViYXRvci1ueWMtbmV3LXlvcmstY2l0eS1kaXNydXB0LXVzZS1jYXNlL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Why Buying Stocks on Margin is Usually a Bad Bet,2017-03-25 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDE3LzAzLzI1L3doeS1idXlpbmctc3RvY2tzLW9uLW1hcmdpbi1pcy11c3VhbGx5LWEtYmFkLWJldC5hc3B40gEA?hl=en-US&gl=US&ceid=US%3Aen
CreditEase invests $30m via online lenders,2017-03-27 00:00:00,https://news.google.com/./articles/CBMiI2h0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzI4MTlf0gEA?hl=en-US&gl=US&ceid=US%3Aen
Peer-to-peer lending bosses split on whether to become a bank,2017-04-03 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzI4MzFfcGVlcl90b19wZWVyX2xlbmRpbmdfYm9zc2VzX3NwbGl0X29uX3doZXRoZXJfdG9fYmVjb21lX2FfYmFua9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Golden opportunity? Precious metal-secured peer-to-peer lender ...,2017-05-18 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzI5NjRfZ29sZGVuX29wcG9ydHVuaXR5X3ByZWNpb3VzX21ldGFsX3NlY3VyZWRfcGVlcl90b19wZWVyX2xlbmRlcl9nZXRzX2F1dGhvcmlzZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
Singapore's biggest marketplace lender hits S$40 million originations,2017-05-26 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzI5OTNfc2luZ2Fwb3Jlc19iaWdnZXN0X21hcmtldHBsYWNlX2xlbmRlcl9leWVzX2V1cm9wZWFuX2ludmVzdG9yc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"All the US cities, states, universities, companies, and investors ...",2017-06-05 00:00:00,https://news.google.com/./articles/CBMilQFodHRwczovL3F6LmNvbS85OTkxNDIvcGFyaXMtYWdyZWVtZW50LWFsbC1vZi10aGUtdXMtY2l0aWVzLWNvdW50aWVzLXN0YXRlcy11bml2ZXJzaXRpZXMtY29tcGFuaWVzLWFuZC1pbnZlc3RvcnMtZGVmeWluZy10cnVtcHMtc3RhbmNlLW9uLWNsaW1hdGUtZGVhbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Seventy-Two Percent of Working Americans Surveyed Would or May ...,2017-06-07 00:00:00,https://news.google.com/./articles/CBMi0AFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3NldmVudHktdHdvLXBlcmNlbnQtb2Ytd29ya2luZy1hbWVyaWNhbnMtc3VydmV5ZWQtd291bGQtb3ItbWF5LWNvbnNpZGVyLWxlYXZpbmctYW4tb3JnYW5pemF0aW9uLWZvci1vbmUtdGhleS10aGluay1pcy1tb3JlLWluY2x1c2l2ZS1kZWxvaXR0ZS1wb2xsLWZpbmRzLTMwMDQ2OTk2MS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
How Homee Became Hutch And The Importance Of The Right Pivot,2017-06-19 00:00:00,https://news.google.com/./articles/CBMipwFodHRwczovL3d3dy5weW1udHMuY29tL25ld3MvcmV0YWlsLzIwMTcvaG93LW1vYmlsZS1hcHAtaG9tZWUtYmVjYW1lLWh1dGNoLWFuZC10aGUtaW1wb3J0YW5jZS1vZi10aGUtcmlnaHQtcGl2b3QtaW4tdGhlLWNvbXBldGl0aXZlLWxhbmRzY2FwZS1vZi1pbnRlcmlvci1kZXNpZ24tc3R5bGVzL9IBqwFodHRwczovL3d3dy5weW1udHMuY29tL25ld3MvcmV0YWlsLzIwMTcvaG93LW1vYmlsZS1hcHAtaG9tZWUtYmVjYW1lLWh1dGNoLWFuZC10aGUtaW1wb3J0YW5jZS1vZi10aGUtcmlnaHQtcGl2b3QtaW4tdGhlLWNvbXBldGl0aXZlLWxhbmRzY2FwZS1vZi1pbnRlcmlvci1kZXNpZ24tc3R5bGVzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Australia’s fintech industry mapped out,2017-06-22 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzMxMTFfYXVzdHJhbGlhc19maW50ZWNoX2luZHVzdHJ5X21hcHBlZF9vdXTSAQA?hl=en-US&gl=US&ceid=US%3Aen
