title,datetime,link
Fortinet Wins an SD-WAN Whopper,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LnNkeGNlbnRyYWwuY29tL2FydGljbGVzL25ld3MvZm9ydGluZXQtd2lucy1hbi1zZC13YW4td2hvcHBlci8yMDIwLzAxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
GTT expands its SD-WAN portfolio by adding Fortinet Secure SD ...,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmZpZXJjZXRlbGVjb20uY29tL3RlbGVjb20vZ3R0LWV4cGFuZHMtaXRzLXNkLXdhbi1wb3J0Zm9saW8tYnktYWRkaW5nLWZvcnRpbmV0LXRvLXJvc3RlctIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Charting a jagged 2020 start, S&P 500 maintains first support",2020-01-07 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9jaGFydGluZy1hLWphZ2dlZC0yMDIwLXN0YXJ0LXNwLTUwMC1tYWludGFpbnMtZmlyc3Qtc3VwcG9ydC0yMDIwLTAxLTA30gEA?hl=en-US&gl=US&ceid=US%3Aen
Masergy deploys free shadow IT discovery solution on its SD-WAN ...,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmZpZXJjZXRlbGVjb20uY29tL3RlbGVjb20vbWFzZXJneS1kZXBsb3lzLXNoYWRvdy1pdC1kaXNjb3Zlcnktc2VydmljZS1pdHMtc2Qtd2FuLXBvcnRhbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
6 ways to protect yourself from an Iranian cyberattack,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDEvMTAvNi13YXlzLXRvLXByb3RlY3QteW91cnNlbGYtZnJvbS1hbi1pcmFuaWFuLWN5YmVyYXR0YWNrLmh0bWzSAV9odHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMC8wMS8xMC82LXdheXMtdG8tcHJvdGVjdC15b3Vyc2VsZi1mcm9tLWFuLWlyYW5pYW4tY3liZXJhdHRhY2suaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
DeathRansom evolves from joke to actual ransomware,2020-01-03 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LnpkbmV0LmNvbS9hcnRpY2xlL2RlYXRocmFuc29tLWV2b2x2ZXMtZnJvbS1qb2tlLXRvLWFjdHVhbC1yYW5zb213YXJlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
The Best (And Worst) Technology Company Stocks In 2019,2020-01-16 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmNybi5jb20vc2xpZGUtc2hvd3MvY2hhbm5lbC1wcm9ncmFtcy90aGUtYmVzdC1hbmQtd29yc3QtdGVjaG5vbG9neS1jb21wYW55LXN0b2Nrcy1pbi0yMDE50gEA?hl=en-US&gl=US&ceid=US%3Aen
"Defence spends big with Data#3, IBM and Telstra",2020-01-23 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmNybi5jb20uYXUvbmV3cy9kZWZlbmNlLXNwZW5kcy1iaWctd2l0aC1kYXRhMy1pYm0tYW5kLXRlbHN0cmEtNTM2ODY30gEA?hl=en-US&gl=US&ceid=US%3Aen
5 Things You Need To Know About VMware’s Acquisition Of Pivotal,2020-01-02 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmNybi5jb20vc2xpZGUtc2hvd3MvdmlydHVhbGl6YXRpb24vNS10aGluZ3MteW91LW5lZWQtdG8ta25vdy1hYm91dC12bXdhcmUtcy1hY3F1aXNpdGlvbi1vZi1waXZvdGFs0gEA?hl=en-US&gl=US&ceid=US%3Aen
TrickBot Now Uses a Windows 10 UAC Bypass to Evade Detection,2020-01-16 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJsZWVwaW5nY29tcHV0ZXIuY29tL25ld3Mvc2VjdXJpdHkvdHJpY2tib3Qtbm93LXVzZXMtYS13aW5kb3dzLTEwLXVhYy1ieXBhc3MtdG8tZXZhZGUtZGV0ZWN0aW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
