title,datetime,link
"Peter A. Sorrentino Named Chief Investment Officer, Comerica Asset ...",2017-01-12 00:00:00,https://news.google.com/./articles/CBMiiQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3BldGVyLWEtc29ycmVudGluby1uYW1lZC1jaGllZi1pbnZlc3RtZW50LW9mZmljZXItY29tZXJpY2EtYXNzZXQtbWFuYWdlbWVudC1ncm91cC0zMDAzOTAxNTUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Project Roll Call,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LmZpcmVoZXJvLm9yZy9mYWxsZW4tZmlyZWZpZ2h0ZXJzL3Byb2plY3Qtcm9sbC1jYWxsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
City manager who helped develop vision for Lake Forest retires Friday,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3Lm9jcmVnaXN0ZXIuY29tL2FydGljbGVzL2R1bmVrLTc0MDMzNS1jaXR5LWZvcmVzdC5odG1s0gFwaHR0cHM6Ly93d3cub2NyZWdpc3Rlci5jb20vMjAxNy8wMS8wNS9jaXR5LW1hbmFnZXItd2hvLWhlbHBlZC1kZXZlbG9wLXZpc2lvbi1mb3ItbGFrZS1mb3Jlc3QtcmV0aXJlcy1mcmlkYXkvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
"TV Pilots 2017: The Complete Guide to What Lives, Dies and Still ...",2017-01-23 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS90di90di1uZXdzL3R2LXBpbG90cy0yMDE3LWNvbXBsZXRlLWd1aWRlLTk2NjU5OS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Main St. eatery gets new owners | Local News | thedailystar.com,2017-01-27 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnRoZWRhaWx5c3Rhci5jb20vbmV3cy9sb2NhbF9uZXdzL21haW4tc3QtZWF0ZXJ5LWdldHMtbmV3LW93bmVycy9hcnRpY2xlX2Y4ZmY2Y2M5LTE2MWEtNTUzOS05OWZjLTJlMzM2M2MzM2Y3YS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Grammar schools lose top spots after league table shakeup,2017-01-19 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9lZHVjYXRpb24vMjAxNy9qYW4vMTkvZ3JhbW1hci1zY2hvb2xzLWxvc2UtdG9wLXNwb3RzLWFmdGVyLWxlYWd1ZS10YWJsZS1zaGFrZXVw0gFraHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL2VkdWNhdGlvbi8yMDE3L2phbi8xOS9ncmFtbWFyLXNjaG9vbHMtbG9zZS10b3Atc3BvdHMtYWZ0ZXItbGVhZ3VlLXRhYmxlLXNoYWtldXA?hl=en-US&gl=US&ceid=US%3Aen
Target retailer asks kids to design Art Class kids line,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9mZW1haWwvYXJ0aWNsZS00MTQ4ODM0L05ldy1UYXJnZXQta2lkZGllLWNvbGxlY3Rpb24tZGVzaWduZWQta2lkcy5odG1s0gFmaHR0cHM6Ly93d3cuZGFpbHltYWlsLmNvLnVrL2ZlbWFpbC9hcnRpY2xlLTQxNDg4MzQvYW1wL05ldy1UYXJnZXQta2lkZGllLWNvbGxlY3Rpb24tZGVzaWduZWQta2lkcy5odG1s?hl=en-US&gl=US&ceid=US%3Aen
How well do you know Indiana?,2017-02-15 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm53aXRpbWVzLmNvbS9ob3ctd2VsbC1kby15b3Uta25vdy1pbmRpYW5hL2FydGljbGVfODY0OWRmNjgtMGE1Yy01NWVlLTg0MjMtMGQ3ZWFmNTVmZTcwLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
How promise to wife looms large for ex-F-Squared chief as SEC ...,2017-02-01 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vcmlhYml6LmNvbS9hLzIwMTcvMi8xL2hvdy1wcm9taXNlLXRvLXdpZmUtbG9vbXMtbGFyZ2UtZm9yLWV4LWYtc3F1YXJlZC1jaGllZi1hcy1zZWMtc2Vla3MtdG8tZGVueS1oaW0tY291cnQtZGF0ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Immigration Agents Arrest 600 People Across U.S. in One Week,2017-02-12 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDIvMTIvbnlyZWdpb24vaW1taWdyYXRpb24tYXJyZXN0cy1zYW5jdHVhcnktY2l0eS5odG1s0gFXaHR0cHM6Ly93d3cubnl0aW1lcy5jb20vMjAxNy8wMi8xMi9ueXJlZ2lvbi9pbW1pZ3JhdGlvbi1hcnJlc3RzLXNhbmN0dWFyeS1jaXR5LmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
