title,datetime,link,Negative,Neutral,Positive,Compound
11 African Entrepreneurs Who Are Changing the Business Landscape,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmVudHJlcHJlbmV1ci5jb20vbGVhZGVyc2hpcC8xMS1hZnJpY2FuLWVudHJlcHJlbmV1cnMtd2hvLWFyZS1jaGFuZ2luZy10aGUtYnVzaW5lc3MvMjgzMjcy0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
This Chinese bike-sharing firm has put 70000 bicycles on the streets ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vbWFzaGFibGUuY29tL2FydGljbGUvYmx1ZWdvZ28tY2hpbmEtYmlrZS1zaGFyaW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.638,0.362,0.5267
Austin boutique hotel expands on South Congress corridor,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vYXVzdGluLmN1bHR1cmVtYXAuY29tL25ld3MvcmVhbC1lc3RhdGUvMDEtMDMtMTctbmV3LWtpbWJlci1tb2Rlcm4taG90ZWwtc291dGgtY29uZ3Jlc3MtZ3Vlcm9zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.769,0.231,0.2023
2016 ESPN.com submission of the year is Miesha Tate vs. Holly ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmVzcG4uY29tL21tYS9zdG9yeS9fL2lkLzE4NDA3MzcyLzIwMTYtc3VibWlzc2lvbi15ZWFyLW1pZXNoYS10YXRlLXZzLWhvbGx5LWhvbG0tdWZjLW1tYdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BKChat LDN & Respectability Politics,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lmh1ZmZpbmd0b25wb3N0LmNvLnVrL2RhbmllbGxlLWRhc2gvYmtjaGF0LWxkbi1yZXNwZWN0YWJpbGl0eV9iXzEzOTU1ODc0Lmh0bWzSAVBodHRwczovL3d3dy5odWZmaW5ndG9ucG9zdC5jby51ay9hbXAvZW50cnkvYmtjaGF0LWxkbi1yZXNwZWN0YWJpbGl0eV9iXzEzOTU1ODc0Lw?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.341,0.659,0.7783
Gogo will fight for WBC Muay Thai title this weekend,2017-01-08 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5wb3N0Z3VhbS5jb20vc3BvcnRzL2xvY2FsL2dvZ28td2lsbC1maWdodC1mb3Itd2JjLW11YXktdGhhaS10aXRsZS10aGlzLXdlZWtlbmQvYXJ0aWNsZV8xOGJjMjk2MC1kMzg2LTExZTYtOWMxMy05MzYxMjM0MWJiNGYuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.412,0.588,0.0,-0.6369
Baker Offers Trade-in Credit on New Fire Containment Bag,2017-01-09 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmFpbm9ubGluZS5jb20vYXZpYXRpb24tbmV3cy9idXNpbmVzcy1hdmlhdGlvbi8yMDE3LTAxLTA5L2Jha2VyLW9mZmVycy10cmFkZS1jcmVkaXQtbmV3LWZpcmUtY29udGFpbm1lbnQtYmFn0gF7aHR0cHM6Ly93d3cuYWlub25saW5lLmNvbS9hdmlhdGlvbi1uZXdzL2J1c2luZXNzLWF2aWF0aW9uLzIwMTctMDEtMDkvYmFrZXItb2ZmZXJzLXRyYWRlLWNyZWRpdC1uZXctZmlyZS1jb250YWlubWVudC1iYWc_YW1w?hl=en-US&gl=US&ceid=US%3Aen,0.271,0.429,0.3,0.1027
"PPG, Bombardier Create New Aircraft Paint Effect",2017-01-11 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmFpbm9ubGluZS5jb20vYXZpYXRpb24tbmV3cy9idXNpbmVzcy1hdmlhdGlvbi8yMDE3LTAxLTExL3BwZy1ib21iYXJkaWVyLWNyZWF0ZS1uZXctYWlyY3JhZnQtcGFpbnQtZWZmZWN00gF4aHR0cHM6Ly93d3cuYWlub25saW5lLmNvbS9hdmlhdGlvbi1uZXdzL2J1c2luZXNzLWF2aWF0aW9uLzIwMTctMDEtMTEvcHBnLWJvbWJhcmRpZXItY3JlYXRlLW5ldy1haXJjcmFmdC1wYWludC1lZmZlY3Q_YW1w?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.652,0.348,0.4939
Every JetBlue Flight Now Has Free Wi-Fi That Blows Gogo Out of the ...,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LnBvcHVsYXJtZWNoYW5pY3MuY29tL2ZsaWdodC9haXJsaW5lcy9hMjQ3MTMvamV0Ymx1ZS1mbHlmaS1mcmVlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.556,0.444,0.765
What To Eat Before and After a Workout - Best Foods for Pre and ...,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmRlbGlzaC5jb20vZm9vZC1uZXdzL2czODg1L3doYXQtdG8tZWF0LWJlZm9yZS1hZnRlci13b3Jrb3V0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.351,0.649,0.8555
