title,datetime,link,Negative,Neutral,Positive,Compound
BRIEF-Fibrogen reports fiscal 2016 financial results,2017-03-01 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtZmlicm9nZW4tcmVwb3J0cy1maXNjYWwtMjAxNi1maW5hbi1pZFVTQVNCMEIzN1bSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Induction of erythropoiesis by hypoxia-inducible factor prolyl hydrox ...,2017-03-10 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5kb3ZlcHJlc3MuY29tL2luZHVjdGlvbi0tb2YtZXJ5dGhyb3BvaWVzaXMtYnktaHlwb3hpYS1pbmR1Y2libGUtZmFjdG9yLXByb2x5bC1oeWRyb3gtcGVlci1yZXZpZXdlZC1mdWxsdGV4dC1hcnRpY2xlLUhQ0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
BRIEF-Fibrogen reports pricing of follow-on offering of common stock,2017-04-06 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtZmlicm9nZW4tcmVwb3J0cy1wcmljaW5nLW9mLWZvbGxvdy1pZFVTQVNCMEI4UzfSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Akebia Surges but is Still Undervalued, Making Takeover a Potential ...",2017-04-26 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vaW52ZXN0aW5nL3N0b2Nrcy9ha2ViaWEtc3VyZ2VzLWJ1dC1pcy1zdGlsbC11bmRlcnZhbHVlZC1tYWtpbmctdGFrZW92ZXItYS1wb3RlbnRpYWwtcmVtZWR5LTE0MTA0NDI50gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Russia's Crypto-Winter Shows Signs of a Thaw in Saint Petersburg,2017-06-27 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvcnVzc2lhcy1jcnlwdG8td2ludGVyLXNob3dzLXNpZ25zLW9mLWEtdGhhdy1pbi1zYWludC1wZXRlcnNidXJnLTIwMTctMDYtMjfSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Revisiting Akebia Therapeutics (NASDAQ:AKBA),2017-07-05 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwODU4MDEtcmV2aXNpdGluZy1ha2ViaWEtdGhlcmFwZXV0aWNz0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Investors breathe life into FibroGen after positive lung data,2017-08-08 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmJpb3BoYXJtYWRpdmUuY29tL25ld3MvZmlicm9nZW4tc2hhcmVzLWp1bXAtbHVuZy1pcGYtZGF0YS1wYW1yZXZsdW1hYi80NDg4NjIv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.492,0.508,0.802
Could S.F. biotech company FibroGen (NASDAQ: FGEN) move ...,2017-08-08 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zYW5mcmFuY2lzY28vbmV3cy8yMDE3LzA4LzA4L2ZpYnJvZ2VuLWZnZW4tZ2VuZW50ZWNoLXJvY2hlLWlwZi1lc2JyaWV0LW92ZWYuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"Galapagos' new data is good, but how much weight does it carry?",2017-08-10 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmJpb3BoYXJtYWRpdmUuY29tL25ld3MvZ2FsYXBhZ29zLWlwZi1waGFzZS0yLWRhdGEvNDQ5MDc4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.556,0.444,0.7003
Seeking A Better Treatment For Idiopathic Pulmonary Fibrosis ...,2017-08-15 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwOTkwODQtc2Vla2luZy1iZXR0ZXItdHJlYXRtZW50LWZvci1pZGlvcGF0aGljLXB1bG1vbmFyeS1maWJyb3Npcy1maWJyb2dlbnMtcGFtcmV2bHVtYWItYW5k0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.61,0.39,0.4939
