title,datetime,link,Negative,Neutral,Positive,Compound
6 Tech Stocks to Buy for the VR Boom,2017-03-14 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAxNy8wMy82LXRlY2gtc3RvY2tzLXRvLWJ1eS1mb3ItdGhlLXZyLWJvb20v0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.444,0.556,0.7184
Conexant to be Acquired by Synaptics to Boost Technology Portfolio,2017-06-12 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvY29uZXhhbnQtdG8tYmUtYWNxdWlyZWQtYnktc3luYXB0aWNzLXRvLWJvb3N0LXRlY2hub2xvZ3ktcG9ydGZvbGlvLTMwMDQ3MjUwOC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.532,0.468,0.6597
"Qualcomm, Vivo show off slow but convenient under-display fingerprint sensor",2017-06-28 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL2dhZGdldHMvMjAxNy8wNi9xdWFsY29tbS12aXZvLXNob3ctb2ZmLXNsb3ctYnV0LWNvbnZlbmllbnQtdW5kZXItZGlzcGxheS1maW5nZXJwcmludC1zZW5zb3Iv0gF4aHR0cHM6Ly9hcnN0ZWNobmljYS5jb20vZ2FkZ2V0cy8yMDE3LzA2L3F1YWxjb21tLXZpdm8tc2hvdy1vZmYtc2xvdy1idXQtY29udmVuaWVudC11bmRlci1kaXNwbGF5LWZpbmdlcnByaW50LXNlbnNvci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,0.417,0.583,0.0,-0.7184
Synaptics Transitions From Mobile To IoT Company (NASDAQ:SYNA),2017-07-04 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwODU2ODgtc3luYXB0aWNzLXRyYW5zaXRpb25zLWZyb20tbW9iaWxlLXRvLWlvdC1jb21wYW550gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Synaptics Launches New 4K Advanced HDR Multimedia Video ...,2017-09-14 00:00:00,https://news.google.com/./articles/CBMipwFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxNy8wOS8xNC8xMTIwOTkwLzM1ODk0L2VuL1N5bmFwdGljcy1MYXVuY2hlcy1OZXctNEstQWR2YW5jZWQtSERSLU11bHRpbWVkaWEtVmlkZW8tUHJvY2Vzc29yLWZvci1TZXQtVG9wLUJveC1NYXJrZXQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.667,0.333,0.4588
Synaptics Incorporated puts a fingerprint scanner under a touchscreen,2017-12-12 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vbWFzaGFibGUuY29tL2FydGljbGUvZmluZ2VycHJpbnQtc2Nhbm5lci11bmRlci1zbWFydHBob25lLWRpc3BsYXnSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Using Facial Recognition to Monitor Driver's Vital Signs,2017-12-28 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmVldGltZXMuY29tL3VzaW5nLWZhY2lhbC1yZWNvZ25pdGlvbi10by1tb25pdG9yLWRyaXZlcnMtdml0YWwtc2lnbnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.638,0.362,0.5267
Hands-on: The first under-glass fingerprint sensor is here!,2018-01-10 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmFuZHJvaWRhdXRob3JpdHkuY29tL3Zpdm8tdW5kZXItZ2xhc3MtZmluZ2VycHJpbnQtc2Vuc29yLXN5bmFwdGljcy04MjkyMDkv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.426,0.574,0.7506
"10 years later, 'Friday Night Lights' star Jesse Plemons remains 'conflicted' on Landry's murderous moment",2018-02-14 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL2NhLm1vdmllcy55YWhvby5jb20vMTAteWVhcnMtbGF0ZXItZnJpZGF5LW5pZ2h0LWxpZ2h0cy1zdGFyamVzc2UtcGxlbW9ucy1yZWZsZWN0cy1sYW5kcnlzLW11cmRlcm91cy1tb21lbnQtMTkwNjEyNjU4Lmh0bWzSAYkBaHR0cHM6Ly9jYS5tb3ZpZXMueWFob28uY29tL2FtcGh0bWwvMTAteWVhcnMtbGF0ZXItZnJpZGF5LW5pZ2h0LWxpZ2h0cy1zdGFyamVzc2UtcGxlbW9ucy1yZWZsZWN0cy1sYW5kcnlzLW11cmRlcm91cy1tb21lbnQtMTkwNjEyNjU4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,0.5,0.5,0.0,-0.9186
"HP Inc. Expands Device-As-A-Service Offering With Apple, Workstations And VR",2018-02-19 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL3BhdHJpY2ttb29yaGVhZC8yMDE4LzAyLzE5L2hwLWluYy1leHBhbmRzLWRldmljZS1hcy1hLXNlcnZpY2Utb2ZmZXJpbmctd2l0aC1hcHBsZS13b3Jrc3RhdGlvbnMtYW5kLXZyL9IBhwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL3BhdHJpY2ttb29yaGVhZC8yMDE4LzAyLzE5L2hwLWluYy1leHBhbmRzLWRldmljZS1hcy1hLXNlcnZpY2Utb2ZmZXJpbmctd2l0aC1hcHBsZS13b3Jrc3RhdGlvbnMtYW5kLXZyL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.816,0.184,0.2023
